timestamp,command
2024-11-10 21:31:37.955567,wander
2024-11-10 21:31:37.996435,wander
2024-11-10 21:31:38.036005,wander
2024-11-10 21:31:38.072131,wander
2024-11-10 21:31:38.106707,wander
2024-11-10 21:31:38.143788,wander
2024-11-10 21:31:38.186879,wander
2024-11-10 21:31:38.223701,wander
2024-11-10 21:31:38.260000,wander
2024-11-10 21:31:38.298327,wander
2024-11-10 21:31:38.337883,wander
2024-11-10 21:31:38.373969,wander
2024-11-10 21:31:38.410718,wander
2024-11-10 21:31:38.446559,wander
2024-11-10 21:31:38.480876,wander
2024-11-10 21:31:38.515367,wander
2024-11-10 21:31:38.555867,wander
2024-11-10 21:31:38.593951,wander
2024-11-10 21:31:38.634635,wander
2024-11-10 21:31:38.671212,wander
2024-11-10 21:31:38.708563,wander
2024-11-10 21:31:38.746218,wander
2024-11-10 21:31:38.786941,wander
2024-11-10 21:31:38.822879,wander
2024-11-10 21:31:38.859628,wander
2024-11-10 21:31:38.895602,wander
2024-11-10 21:31:38.931459,wander
2024-11-10 21:31:38.968179,wander
2024-11-10 21:31:39.003709,wander
2024-11-10 21:31:39.038974,wander
2024-11-10 21:31:39.076333,wander
2024-11-10 21:31:39.113409,wander
2024-11-10 21:31:39.152595,wander
2024-11-10 21:31:39.189663,wander
2024-11-10 21:31:39.227043,wander
2024-11-10 21:31:39.267863,wander
2024-11-10 21:31:39.309809,wander
2024-11-10 21:31:39.348449,wander
2024-11-10 21:31:39.388548,wander
2024-11-10 21:31:39.425241,wander
2024-11-10 21:31:39.463332,wander
2024-11-10 21:31:39.499664,wander
2024-11-10 21:31:39.537072,wander
2024-11-10 21:31:39.573148,wander
2024-11-10 21:31:39.607535,wander
2024-11-10 21:31:39.642693,avoid_obstacle
2024-11-10 21:31:39.678016,avoid_obstacle
2024-11-10 21:31:39.713506,avoid_obstacle
2024-11-10 21:31:39.750011,wander
2024-11-10 21:31:39.787428,wander
2024-11-10 21:31:39.822419,wander
2024-11-10 21:31:39.856771,wander
2024-11-10 21:31:39.891587,wander
2024-11-10 21:31:39.930302,wander
2024-11-10 21:31:40.038340,wander
2024-11-10 21:31:40.087705,wander
2024-11-10 21:31:40.146364,wander
2024-11-10 21:31:40.190649,wander
2024-11-10 21:31:40.227968,wander
2024-11-10 21:31:40.267624,wander
2024-11-10 21:31:40.297163,wander
2024-11-10 21:31:40.327705,wander
2024-11-10 21:31:40.357839,wander
2024-11-10 21:31:40.386922,wander
2024-11-10 21:31:40.415288,wander
2024-11-10 21:31:40.442648,wander
2024-11-10 21:31:40.472125,wander
2024-11-10 21:31:40.501272,wander
2024-11-10 21:31:40.531761,wander
2024-11-10 21:31:40.566120,wander
2024-11-10 21:31:40.594747,wander
2024-11-10 21:31:40.623379,wander
2024-11-10 21:31:40.652631,wander
2024-11-10 21:31:40.679578,wander
2024-11-10 21:31:40.708163,wander
2024-11-10 21:31:40.736011,wander
2024-11-10 21:31:40.764161,wander
2024-11-10 21:31:40.793045,wander
2024-11-10 21:31:40.821404,wander
2024-11-10 21:31:40.851518,wander
2024-11-10 21:31:40.881067,wander
2024-11-10 21:31:40.910271,wander
2024-11-10 21:31:40.939968,wander
2024-11-10 21:31:40.972129,wander
2024-11-10 21:31:41.004298,wander
2024-11-10 21:31:41.033326,wander
2024-11-10 21:31:41.063490,wander
2024-11-10 21:31:41.094290,wander
2024-11-10 21:31:41.124882,wander
2024-11-10 21:31:41.396991,wander
2024-11-10 21:31:41.527543,wander
2024-11-10 21:31:41.600052,wander
2024-11-10 21:31:41.652929,wander
2024-11-10 21:31:41.705600,wander
2024-11-10 21:31:41.752890,wander
2024-11-10 21:31:41.803234,wander
